Price,ZAR
Ticker,USDZAR=X
Date,
2009-09-15,7.355199813842773
2009-09-16,7.293799877166748
2009-09-17,7.384500026702881
2009-09-18,7.428800106048584
2009-09-21,7.449100017547607
2009-09-22,7.35830020904541
2009-09-23,7.42549991607666
2009-09-24,7.484099864959717
2009-09-25,7.398799896240234
2009-09-28,7.406300067901611
2009-09-29,7.403600215911865
2009-09-30,7.507900238037109
2009-10-01,7.682600021362305
2009-10-02,7.648200035095215
2009-10-05,7.460599899291992
2009-10-06,7.417399883270264
2009-10-07,7.375899791717529
2009-10-08,7.313000202178955
2009-10-09,7.399199962615967
2009-10-12,7.317399978637695
2009-10-13,7.316500186920166
2009-10-14,7.22130012512207
2009-10-15,7.262899875640869
2009-10-16,7.3354997634887695
2009-10-19,7.307199954986572
2009-10-20,7.36269998550415
2009-10-21,7.410799980163574
2009-10-22,7.391900062561035
2009-10-23,7.443699836730957
2009-10-26,7.572700023651123
2009-10-27,7.6579999923706055
2009-10-28,7.821300029754639
2009-10-29,7.722400188446045
2009-10-30,7.831500053405762
2009-11-02,7.936500072479248
2009-11-03,7.799799919128418
2009-11-04,7.636199951171875
2009-11-05,7.575099945068359
2009-11-06,7.5295000076293945
2009-11-09,7.414700031280518
2009-11-10,7.367499828338623
2009-11-11,7.368000030517578
2009-11-12,7.461699962615967
2009-11-13,7.409299850463867
2009-11-16,7.352499961853027
2009-11-17,7.448200225830078
2009-11-18,7.441500186920166
2009-11-19,7.525599956512451
2009-11-20,7.60230016708374
2009-11-23,7.493100166320801
2009-11-24,7.429900169372559
2009-11-25,7.308599948883057
2009-11-26,7.553100109100342
2009-11-27,7.396699905395508
2009-11-30,7.3979997634887695
2009-12-01,7.3028998374938965
2009-12-02,7.307600021362305
2009-12-03,7.3979997634887695
2009-12-04,7.415599822998047
2009-12-07,7.419300079345703
2009-12-08,7.54640007019043
2009-12-09,7.54449987411499
2009-12-10,7.51800012588501
2009-12-11,7.51170015335083
2009-12-14,7.390500068664551
2009-12-15,7.426599979400635
2009-12-16,7.412199974060059
2009-12-17,7.53249979019165
2009-12-18,7.553800106048584
2009-12-21,7.736000061035156
2009-12-22,7.700900077819824
2009-12-23,7.585599899291992
2009-12-24,7.501399993896484
2009-12-25,7.496200084686279
2009-12-28,7.491600036621094
2009-12-29,7.399899959564209
2009-12-30,7.377699851989746
2009-12-31,7.399600028991699
2010-01-01,7.340199947357178
2010-01-04,7.264900207519531
2010-01-05,7.3018999099731445
2010-01-06,7.302199840545654
2010-01-07,7.424099922180176
2010-01-08,7.341800212860107
2010-01-11,7.355299949645996
2010-01-12,7.412799835205078
2010-01-13,7.368100166320801
2010-01-14,7.360000133514404
2010-01-15,7.378300189971924
2010-01-18,7.384300231933594
2010-01-19,7.393700122833252
2010-01-20,7.518400192260742
2010-01-21,7.539999961853027
2010-01-22,7.630799770355225
2010-01-25,7.542900085449219
2010-01-26,7.541999816894531
2010-01-27,7.572199821472168
2010-01-28,7.590000152587891
2010-01-29,7.617000102996826
2010-02-01,7.4928998947143555
2010-02-02,7.4664998054504395
2010-02-03,7.520699977874756
2010-02-04,7.673799991607666
2010-02-05,7.763599872589111
2010-02-08,7.719900131225586
2010-02-09,7.670000076293945
2010-02-10,7.711249828338623
2010-02-11,7.633600234985352
2010-02-12,7.678100109100342
2010-02-15,7.703999996185303
2010-02-16,7.650899887084961
2010-02-17,7.613500118255615
2010-02-18,7.673399925231934
2010-02-19,7.640900135040283
2010-02-22,7.70419979095459
2010-02-23,7.775000095367432
2010-02-24,7.729499816894531
2010-02-25,7.7322998046875
2010-02-26,7.715400218963623
2010-03-01,7.629199981689453
2010-03-02,7.595300197601318
2010-03-03,7.477399826049805
2010-03-04,7.469699859619141
2010-03-05,7.398799896240234
2010-03-08,7.3993000984191895
2010-03-09,7.3632001876831055
2010-03-10,7.388199806213379
2010-03-11,7.424300193786621
2010-03-12,7.389999866485596
2010-03-15,7.3979997634887695
2010-03-16,7.349999904632568
2010-03-17,7.2967000007629395
2010-03-18,7.30649995803833
2010-03-19,7.324999809265137
2010-03-22,7.306600093841553
2010-03-23,7.316999912261963
2010-03-24,7.385900020599365
2010-03-25,7.460999965667725
2010-03-26,7.42519998550415
2010-03-29,7.403800010681152
2010-03-30,7.3592000007629395
2010-03-31,7.289599895477295
2010-04-01,7.227799892425537
2010-04-02,7.236499786376953
2010-04-05,7.2154998779296875
2010-04-06,7.218100070953369
2010-04-07,7.272240161895752
2010-04-08,7.251200199127197
2010-04-09,7.249000072479248
2010-04-12,7.252099990844727
2010-04-13,7.292900085449219
2010-04-14,7.305300235748291
2010-04-15,7.292600154876709
2010-04-16,7.3730998039245605
2010-04-19,7.4217000007629395
2010-04-20,7.375699996948242
2010-04-21,7.382500171661377
2010-04-22,7.446100234985352
2010-04-23,7.405300140380859
2010-04-26,7.322800159454346
2010-04-27,7.449999809265137
2010-04-28,7.418099880218506
2010-04-29,7.3572001457214355
2010-04-30,7.380000114440918
2010-05-03,7.399600028991699
2010-05-04,7.555300235748291
2010-05-05,7.614999771118164
2010-05-06,7.74560022354126
2010-05-07,7.625
2010-05-10,7.475100040435791
2010-05-11,7.512499809265137
2010-05-12,7.445799827575684
2010-05-13,7.479100227355957
2010-05-14,7.531899929046631
2010-05-17,7.53849983215332
2010-05-18,7.661099910736084
2010-05-19,7.749599933624268
2010-05-20,7.9359002113342285
2010-05-21,7.8242998123168945
2010-05-24,7.841899871826172
2010-05-25,7.803299903869629
2010-05-26,7.756199836730957
2010-05-27,7.578400135040283
